FID,ADM2_EN,ADM3_EN,Shape_Leng,Shape_Area,Area,pop2020,pop_low,pop_mod,pop_high,pop_vhigh,pop_risk,pop_hvhigh,pct_low,pct_mod,pct_high,pct_vhigh,pct_risk,pvt_hvhigh,pct_norisk,pct_hverisk
54,Gampaha,Divulapitiya,0.977101706,0.016616311,203,158900,13093,8945,8707,3193,20845,11900,8.239773442,5.629326621,5.479546885,2.009439899,13.1183134,7.488986784,78.64191315,21.35808685
55,Kalutara,Dodangoda,0.890037396,0.008956038,110,77980,4977,3623,3593,2993,10209,6586,6.382405745,4.646063093,4.60759169,3.838163632,13.09181841,8.445755322,80.52577584,19.47422416
56,Kandy,Doluwa,0.536679348,0.0076472,93,57076,2705,1798,1325,5040,8163,6365,4.739294975,3.150185717,2.321466115,8.830331488,14.30198332,11.1517976,80.9587217,19.0412783
57,Gampaha,Dompe,0.803574042,0.014647848,179,175774,9380,6808,9021,20081,35910,29102,5.336397875,3.873155302,5.13215834,11.42432897,20.42964261,16.55648731,74.23395952,25.76604048
58,Ratnapura,Eheliyagoda,0.791877839,0.011481579,140,77608,4183,4064,5434,2776,12274,8210,5.389908257,5.236573549,7.001855479,3.57695083,15.81537986,10.57880631,78.79471189,21.20528811
59,Kurunegala,Ehetuwewa,1.025244055,0.01389517,169,27846,1302,873,307,42,1222,349,4.67571644,3.135100194,1.102492279,0.150829563,4.388422035,1.253321842,90.93586152,9.064138476
60,Polonnaruwa,Elahera,0.995875571,0.030007117,366,43743,1941,1361,966,278,2605,1244,4.437281394,3.11135496,2.208353337,0.635530256,5.955238552,2.843883593,89.60748005,10.39251995
61,Ratnapura,Elapatha,0.483842391,0.007000693,86,40452,948,882,1811,1651,4344,3462,2.343518244,2.18036191,4.476910907,4.081380401,10.73865322,8.558291308,86.91782854,13.08217146
62,Badulla,Ella,0.537653657,0.008969266,110,48623,1738,1011,624,1125,2760,1749,3.57444008,2.0792629,1.283343274,2.313719845,5.676326019,3.597063118,90.7492339,9.250766098
63,Galle,Elpitiya,0.650263529,0.012312486,151,69773,3960,3648,3838,1795,9281,5633,5.675547848,5.228383472,5.500695111,2.572628381,13.30170696,8.073323492,81.02274519,18.97725481
64,Ratnapura,Embilipitiya,1.703926404,0.030873011,378,148231,8166,6807,4889,3213,14909,8102,5.508969109,4.592156836,3.298230465,2.167562791,10.05795009,5.465793255,84.4330808,15.5669192
65,Batticaloa,Eravur Pattu,2.472732287,0.048137459,587,86650,7837,7978,2086,576,10640,2662,9.044431621,9.207155222,2.407386036,0.66474322,12.27928448,3.072129256,78.6762839,21.3237161
66,Batticaloa,Eravur Town,0.054565418,0.000148658,2,7721,162,239,48,0,287,48,2.098173812,3.095453957,0.621681129,0,3.717135086,0.621681129,94.1846911,5.815308898
67,Anuradhapura,Galenbidunuwewa,1.322179373,0.023374471,285,50559,2604,1562,365,16,1943,381,5.150418323,3.089459839,0.721928836,0.031646196,3.84303487,0.753575031,91.00654681,8.993453193
68,Matale,Galewela,0.950991648,0.015937243,194,76017,5594,3980,1732,245,5957,1977,7.35888025,5.235670968,2.278437718,0.322296328,7.836405015,2.600734046,84.80471473,15.19528527
69,Kurunegala,Galgamuwa,1.467401139,0.021746404,265,61743,3321,2256,1052,76,3384,1128,5.378747388,3.653855498,1.703836872,0.123090877,5.480783247,1.826927749,89.14046936,10.85953064
