ADM2_EN,ADM3_EN,Area,pop_mild_dro,pop_mod_dro,pop_sev_dro,pop_ex_dro,pop_mse_dro,pop_se_dro,pct_mild_dro,pct_mod_dr,pct_sev_dro,pct_ex_dro,pct_mse_dro,pct_se_dr,pop2020,pop_low,pop_mod,pop_high,pop_vhigh,pop_risk,pop_hvhigh,pct_low,pct_mod,pct_high,pct_vhigh,pct_risk,pvt_hvhigh,pct_norisk,pct_hverisk,flood_high_cat,drought_sev_cat
Kalutara,Bandaragama,56,0,0,0,125525,125525,125525,0,0,0,93.58833041,93.58833041,93.58833041,134125,11643,11214,7457,750,19421,8207,8.680708295,8.360857409,5.559739049,0.55917987,14.47977633,6.118918919,76.83951538,23.16048462,2.00,1.00
Badulla,Bandarawela,71,0,7801,59156,1912,68870,61068,0,10.80765593,81.95302128,2.64908197,95.40975918,84.60210324,72183,3150,1977,1431,1865,5273,3296,4.363908399,2.738872034,1.982461244,2.583710846,7.305044124,4.56617209,88.33104748,11.66895252,2.00,2.00
Hambantota,Beliatta,103,0,0,0,59637,59637,59637,0,0,0,99.96755775,99.96755775,99.96755775,59656,4088,3281,2279,920,6480,3199,6.852621698,5.499865898,3.82023602,1.542175137,10.86227706,5.362411157,82.28510125,17.71489875,2.00,1.00
Galle,Bentota,69,0,0,17503,33427,50930,50930,0,0,33.16610318,63.34117219,96.50727538,96.50727538,52773,4848,5297,2348,225,7870,2573,9.186515832,10.0373297,4.449244879,0.426354386,14.91292896,4.875599265,75.90055521,24.09944479,2.00,2.00
Kalutara,Beruwala,73,0,0,81314,89051,170365,170365,0,0,44.57367747,48.81440163,93.38807909,93.38807909,182427,15810,10478,8019,1596,20093,9615,8.666480291,5.74366733,4.395730895,0.874870496,11.01426872,5.270601391,80.31925099,19.68074901,2.00,2.00
Monaragala,Bibile,465,22934,18736,3,0,18740,3,55.52119495,45.35930501,0.008419122,0,45.36772413,0.008419122,41306,1574,1399,843,448,2690,1291,3.810584419,3.386917155,2.040865734,1.084588195,6.512371084,3.125453929,89.6770445,10.3229555,2.00,1.00
Kurunegala,Bingiriya,194,0,0,0,67179,67179,67179,0,0,0,98.99560064,98.99560064,98.99560064,67861,4435,3352,1555,264,5171,1819,6.535417987,4.939508702,2.291448697,0.389030518,7.619987916,2.680479215,85.8445941,14.1554059,2.00,1.00
Gampaha,Biyagama,61,0,0,0,205921,205921,205921,0,0,0,96.0688271,96.0688271,96.0688271,214347,15450,13678,22652,28646,64976,51298,7.20793853,6.381241632,10.56791091,13.36431114,30.31346368,23.93222205,62.47859779,37.52140221,2.00,1.00
Galle,Bope-Poddala,29,0,0,12363,45137,57500,57500,0,0,20.25731876,73.9554821,94.21280087,94.21280087,61032,6186,4029,2808,210,7047,3018,10.13566654,6.601454974,4.60086512,0.344081793,11.54640189,4.944946913,78.31793158,21.68206842,2.00,1.00
Kegalle,Bulathkohipitiya,125,0,0,27691,22426,50117,50117,0,0,55.37316033,44.84470402,100.2178644,100.2178644,50008,1350,924,920,1714,3558,2634,2.699568069,1.847704367,1.839705647,3.427451608,7.114861622,5.267157255,90.18557031,9.814429691,2.00,2.00
Kalutara,Bulathsinhala,211,0,0,404,68568,68973,68973,0,0,0.583017391,98.89279835,99.47581574,99.47581574,69336,2396,2206,2653,2374,7233,5027,3.455636322,3.1816084,3.826295142,3.423906773,10.43181031,7.250201915,86.11255336,13.88744664,2.00,1.00
Monaragala,Buttala,709,0,0,25243,28434,53677,53677,0,0,47.11890129,53.0754426,100.1943439,100.1943439,53573,3021,2534,1975,444,4953,2419,5.639034588,4.729994587,3.686558528,0.828775689,9.245328804,4.515334217,85.11563661,14.88436339,2.00,2.00
Puttalam,Chilaw,86,0,0,0,62650,62650,62650,0,0,0,97.03361086,97.03361086,97.03361086,64565,5493,2545,1822,180,4547,2002,8.507705413,3.941764114,2.821962364,0.278788817,7.042515295,3.100751181,84.44977929,15.55022071,2.00,1.00
Colombo,Colombo,18,0,0,0,249074,249074,249074,0,0,0,85.22697399,85.22697399,85.22697399,292248,26045,27084,29128,97,56309,29225,8.911951493,9.267471463,9.966877447,0.033190988,19.2675399,10.00006844,71.82050861,28.17949139,2.00,1.00
